"meeting_date","file_number","title","type","action","ayes","noes","ayes_names","noes_names","excused","is_unanimous","primary_sponsor","co_sponsors","fiscal_impact","description"
"2025-12-09","250821","Resolution of Intent - Street Vacation - 1236 Carroll Avenue","Resolution","ADOPTED","11","0","Chan, Chen, Dorsey, Fielder, Mahmood, Mandelman, Melgar, Sauter, Sherrill, Walton","","","True","Walton","","False","Resolution declaring the intention of the Board of Supervisors to vacate portions of Hawes Street, Griffith Street, and Bancroft Avenue for the development of the Fire Department Training Facility at 1236 Carroll Avenue and setting a hearing date for all persons interested in the proposed vacation of said street areas."
"2025-12-09","251175","Final Map No. 10857 - 1301-1341 Evans Avenue","Motion","APPROVED","11","0","Chan, Chen, Dorsey, Fielder, Mahmood, Mandelman, Melgar, Sauter, Sherrill, Walton","","","True","","","False","Motion approving Final Map No. 10857, a 20-Commercial Unit Condominium Project, located at 1301-1341 Evans Avenue, being a subdivision of Assessor’s Parcel Block No. 5237, Lot No. 037; and adopting findings pursuant to the General Plan, and the eight priority policies of Planning Code, Section 101.1. (Public Works) Motion No. M25-126"
"2025-12-09","251104","Grant Agreement Amendment - Episcopal Community Services - Sanctuary Shelter - Not to Exceed $40,896,141","Resolution","ADOPTED","10","0","Chan, Chen, Dorsey, Fielder, Mahmood, Mandelman, Melgar, Sauter, Sherrill, Walton","","Wong","True","","","True","Resolution approving the third amendment to the grant agreement between Episcopal Community Services and the Department of Homelessness and Supportive Housing (“HSH”) for shelter services at Sanctuary Shelter; extending the grant term by 24 months from June 30, 2026, for a total term of July 1, 2021, through June 30, 2028; increasing the agreement amount by $15,140,870 for a new total amount not to exceed $40,896,141; and authorizing HSH to enter into any amendments or other modifications to the"
"2025-12-09","251105","Grant Agreement Amendment - Felton Institute - Bayview Drop-In Resource Center - Not to Exceed $16,854,149","Resolution","ADOPTED","10","0","Chan, Chen, Dorsey, Fielder, Mahmood, Mandelman, Melgar, Sauter, Sherrill, Walton","","Wong","True","","Walton","True","Resolution approving the third amendment to the grant agreement between Felton Institute and the Department of Homelessness and Supportive Housing (“HSH”) for Drop-in Center operations, extending the grant term by 24 months from June 30, 2026, for a total term of October 1, 2022, through June 30, 2028, and increasing the agreement amount by $7,134,976 for a new total amount not to exceed $16,854,149; and authorizing HSH to enter into any amendments or other modifications to the Amendment that do"
"2025-12-09","251108","Execute Standard Agreement - Not to Exceed $39,044,030 - Accept and Expend Homekey+ Grant - California Department of Housing and Community Development - Permanent Supportive Housing for Veterans - 1035 Van Ness Avenue - Not to Exceed $3,000,000","Resolution","ADOPTED","10","0","Chan, Chen, Dorsey, Fielder, Mahmood, Mandelman, Melgar, Sauter, Sherrill, Walton","","Wong","True","","","True","Resolution authorizing the City and County of San Francisco (“City”), through the Department of Homelessness and Supportive Housing (“HSH”), to 1) execute a Standard Agreement with the California Department of Housing and Community Development (“HCD”) and co-applicants Swords to Plowshares: Veterans Rights Organization and 1035Vets LLC for a total award not to exceed $39,044,030 under the Homekey+ Program, including up to $36,044,030 disbursed by HCD as a grant to 1035Vets LLC for acquisition of"
"2025-12-09","251147","Loan and Grant Agreement - 1035Vets LLC - 1035 Van Ness Avenue - 100% Affordable Veterans Permanent Supportive Housing - Not to Exceed $11,000,000","Resolution","ADOPTED","10","0","Chan, Chen, Dorsey, Fielder, Mahmood, Mandelman, Melgar, Sauter, Sherrill, Walton","","Wong","True","","","True","Resolution approving and authorizing a Loan and Grant Agreement in an amount not to exceed $11,000,000 consisting of a loan in the amount of $8,000,000 for a minimum term of 55 years and a grant in the amount of $3,000,000 with 1035Vets LLC for the purpose of rehabilitating real property located at 1035 Van Ness Avenue (“1035 Van Ness”) into 124 units of permanent supportive housing for veterans exiting homelessness under the Homekey+ Program administered by the California Department of Housing "
"2025-12-09","251109","Execute Standard Agreement - Not to Exceed $17,291,506 - Retroactive - Accept and Expend Homekey+ Grant - California Department of Housing and Community Development - Permanent Supportive Housing - 835 Turk Street - Not to Exceed $13,729,907","Resolution","ADOPTED","10","0","Chan, Chen, Dorsey, Fielder, Mahmood, Mandelman, Melgar, Sauter, Sherrill, Walton","","Wong","True","","","True","Resolution authorizing the City and County of San Francisco (“City”), through the Department of Homelessness and Supportive Housing (“HSH”), to 1) execute a Standard Agreement with the California Department of Housing and Community Development (“HCD”) and co-applicants 835 Turk LLC and Five Keys Schools and Programs for a total award not to exceed $17,291,506 under the Homekey+ Program, including up to $3,561,599 disbursed by HCD as a grant to 835 Turk LLC for support of operating costs and up t"
"2025-12-09","251155","Ground Lease and Loan and Grant Agreement - 835 Turk LLC - 835 Turk Street - 100% Permanent Supportive Housing - $1 Total Ground Lease Rent - Loan Not to Exceed $12,922,000 - Grant Not to Exceed $13,729,907","Resolution","ADOPTED","10","0","Chan, Chen, Dorsey, Fielder, Mahmood, Mandelman, Melgar, Sauter, Sherrill, Walton","","Wong","True","","","True","Resolution 1) approving and authorizing the Director of Property and the Department of Homelessness and Supportive Housing (“HSH”) to enter into a Ground Lease for real property owned by the City located at 835 Turk Street (“Property”) with 835 Turk LLC for a lease term of 55 years and total rent not to exceed $1 (“Ground Lease”) in order to rehabilitate and operate a 100% permanent supportive housing, 106-unit multifamily rental housing development affordable to very low-income households, plus"
"2025-12-09","251111","Accept and Expend Grant - Retroactive - California Department of Insurance - Workers’ Compensation Insurance Fraud Program - $1,122,888","Resolution","ADOPTED","10","0","Chan, Chen, Dorsey, Fielder, Mahmood, Mandelman, Melgar, Sauter, Sherrill, Walton","","Wong","True","","","False","Resolution retroactively authorizing the Office of the District Attorney to accept and expend a grant in the amount of $1,122,888 from the California Department of Insurance for the Workers’ Compensation Insurance Fraud Program, for the grant period of July 1, 2025, through June 30, 2026. (District Attorney)"
"2025-12-09","251154","Accept and Expend Grant - Retroactive - California Department of Insurance - Automobile Insurance Fraud Program - $347,069","Resolution","ADOPTED","10","0","Chan, Chen, Dorsey, Fielder, Mahmood, Mandelman, Melgar, Sauter, Sherrill, Walton","","Wong","True","","","False","Resolution retroactively authorizing the Office of the District Attorney to accept and expend a grant in the amount of $347,069 from the California Department of Insurance for the Automobile Insurance Fraud Program, for the grant period of July 1, 2025, through June 30, 2026. (District Attorney)"
